Document,Primary Introducer,Status,Description,Date Introduced
LB816,Scheer,Passed,Change and eliminate provisions relating to state institution patients' records,2016-01-08
LB817,Riepe,Passed,Adopt the Direct Primary Care Agreement Act,2016-01-08
LB818,Kolowski,Indefinitely postponed,Change provisions relating to immunity when submitting a complaint under the Children's Residential Facilities and Placing Licensure Act,2016-01-08
LB819,Lindstrom,Indefinitely postponed,Adopt the Corporate Governance Annual Disclosure Act,2016-01-08
LB820,Hughes,Indefinitely postponed,Provide a method of selecting winners for certain lotteries and raffles,2016-01-08
LB821,Larson,Passed,Adopt the Workplace Privacy Act,2016-01-08
LB822,Larson,Indefinitely postponed,Eliminate consent of the Legislature for appointment of State Electrical Board members,2016-01-08
LB823,Larson,Passed,Change powers and duties of the State Athletic Commissioner and provide administrative fine authority as prescribed,2016-01-08
LB824,McCollister,Passed,Provide for compensation of certain Nebraska Power Review Board members and for privately developed renewable energy generation facilities and appropriate funds,2016-01-08
LB825,Davis,Indefinitely postponed,Provide reporting requirements for tax-exempt property,2016-01-08
LB826,Davis,Indefinitely postponed,Change provisions relating to reimbursement under the Special Education Act,2016-01-08
LB827,Harr,Indefinitely postponed,Allow county treasurers to receive fees for services rendered to sanitary and improvement districts,2016-01-08
LB828,Harr,Indefinitely postponed,Redefine terms under the Employment Security Law,2016-01-08
LB829,Harr,Passed,Adopt the Revised Uniform Fiduciary Access to Digital Assets Act (2015),2016-01-08
LB830,Harr,Passed,Redefine employment under the Employment Security Law and change provisions relating to vacation leave for state employees,2016-01-08
LB831,Hansen,Indefinitely postponed,Adopt the Automatic License Plate Reader Privacy Act,2016-01-08
LB832,Morfeld,Indefinitely postponed,Provide for seizure and sale of a motor vehicle illegally transporting household goods for hire,2016-01-08
LB833,Schumacher,Indefinitely postponed,Change provisions relating to child support enforcement actions,2016-01-08
LB834,Schumacher,Indefinitely postponed,Prohibit the retail sale of alcohol at a price below cost,2016-01-08
LB835,Mello,Passed,Change provisions relating to consumer protection,2016-01-08
LB836,Mello,Indefinitely postponed,Adopt the In the Line of Duty Compensation Act,2016-01-08
LB837,Scheer,Passed,Change provisions relating to premium taxes and quarterly statements under the Surplus Lines Insurance Act,2016-01-08
LB838,Bolz,Indefinitely postponed,State intent relating to an appropriation to the State Department of Education for an educational specialist,2016-01-08
LB839,Chambers,Indefinitely postponed,Require background checks and other requirements for persons purchasing certain types of tactical gear,2016-01-08
LB840,Fox,Passed,Change provisions relating to the time allowed for certain internal grievances under the Health Carrier External Review Act,2016-01-08
LB841,Bloomfield,Indefinitely postponed,Change provisions relating to maximum annual benefits and disqualification for benefits under the Employment Security Law,2016-01-08
LB842,Haar,Passed,Change admission and graduation provisions relating to barber schools and colleges,2016-01-08
LB843,Pansing Brooks,Passed,Provide immunity from prosecution for prostitution and change forensic medical examination provisions,2016-01-08
LB844,Pansing Brooks,Indefinitely postponed,Provide for Breast Cancer Awareness Plates,2016-01-08
LB845,Pansing Brooks,Indefinitely postponed,Provide requirements relating to confinement of juveniles and provide a duty for the Inspector General of Nebraska Child Welfare,2016-01-08
LB846,Pansing Brooks,Indefinitely postponed,Require law enforcement agencies to adopt a policy regarding suspect identifications by witnesses,2016-01-08
LB847,Pansing Brooks,Indefinitely postponed,Change provisions relating to juries,2016-01-08
LB848,Pansing Brooks,Indefinitely postponed,Change provisions relating to courts,2016-01-08
LB849,Crawford,Indefinitely postponed,Adopt the Assisting Caregiver Transitions Act,2016-01-08
LB850,Crawford,Indefinitely postponed,Adopt the Paid Family Medical Leave Insurance Act,2016-01-08
LB851,McCollister,Passed,Change the Taxpayer Transparency Act,2016-01-08
LB852,Cook,Indefinitely postponed,Appropriate funds for aid to community colleges,2016-01-08
LR393,Bloomfield,,"Extend sympathy to the family of Major General Claude M. Bolton, Jr., and recognize his service to his country",2016-01-08
LB853,Stinner,Passed,Change provisions relating to the Public Accountancy Act,2016-01-11
LB854,Coash,Indefinitely postponed,Adopt the Self-Service Storage Facilities Act and provide for a lien on certain property,2016-01-11
LB855,Ebke,Indefinitely postponed,Require rounding a certain dollar amount in the Employment Security Law to the nearest whole dollar amount,2016-01-11
LB856,Harr,Indefinitely postponed,Change the Insured Homeowners Protection Act,2016-01-11
LB857,Hadley,Passed,Change population threshold for a city of the first class to employ a full-time fire chief,2016-01-11
LB858,Hadley,Indefinitely postponed,Create the University of Nebraska Facilities Program of 2016,2016-01-11
LB859,Campbell,Passed,Change cease and desist orders under the Uniform Credentialing Act,2016-01-11
LB860,Hughes,Indefinitely postponed,Add a type of economic development program under the Local Option Municipal Economic Development Act,2016-01-11
LB861,Schumacher,Indefinitely postponed,Provide for court review of inmate restrictive housing placement as prescribed,2016-01-11
LB862,Larson,Indefinitely postponed,Permit conducting or participating in a fantasy contest as prescribed,2016-01-11
LB863,Schilz,Indefinitely postponed,Adopt the Wind Energy Expansion Act,2016-01-11
LB864,Crawford,Passed,Change provisions relating to a municipality requesting additional extraterritorial zoning jurisdiction,2016-01-11
LB865,Crawford,Passed,Change provisions relating to handicapped parking,2016-01-11
LB866,Bolz,Indefinitely postponed,Adopt the Transition to Adult Living Success Program Act,2016-01-11
